CompanyID,Company_Name,Industry,Employee_Count,LinkedIn_Followers
C1,American Express  ,Fincial Services ,10001,1701642
C2,Accenture in India,Information Technology & Services,10001,1399337
C3,Colgate-Palmolive,Consumer Goods,10001,1975214 
C4,Advance Auto Parts,Retail,10001,101668 
C5,Novartis India,Pharmaceuticals  ,10001,111727 
C6,_VOIS,Information Technology & Services,10001,84023
C7,"Neustar, Inc. ",Information Technology & Services,5000,67636 
C8,Microsoft,Computer Software,10001,17774440
C9,Turing.com,Information Technology & Services,5000,127941 
C10,Stryker,Medical Device,10001,981227 
C11,Optum,Hospital & Health Care ,10001,516149 
C12,Micron Technology ,Semiconductors,10001,444167 
C13,Bank of America ,Banking ,10001,2258970 
C14,dentsu intertiol,Marketing & Advertising ,10001,647910 
C15,ANZ,Banking ,10001,558346 
C16,Giant Eagle GCC,Information Technology & Services,200,2154 
C17,UST,Information Technology & Services,10001,660827 
C18,Shell ,Oil & Energy ,10001,5922917 
C19,Eaton  ,Electrical & Electronic Manufacturing ,10001,1242164 
C20,State Street,Fincial Services ,10001,435909 
C21,Michael Page,Staffing & Recruiting,10000,3007322 
C22,Novo Nordisk,Pharmaceuticals  ,10001,1302821 
C23,"Mettler-Toledo Intertiol, Inc",Electrical & Electronic Manufacturing,10001,108836 
C24,Barclays,Fincial Services ,10001,1251058 
C25,TE Connectivity,Electrical & Electronic Manufacturing,10001,442595 
C26,Gameskraft,Computer Games,1000,21553 
C27,Edu Angels India Private Limited,Consumer Services ,200,32
C28,Hotstar,Computer Software ,1000,719232 
C29,Moody's Corporation,Fincial Services ,10001,142128 
C30,Chubb,Insurance ,10001,615145 
C31,Electronic Arts (EA),Computer Games,10001,1075143 
C32,Jaguar Land Rover India,Automotive  ,500,102725 
C33,Viasat Inc. ,Telecommunications,5001,90749 
C34,TaskUs ,Outsourcing/Offshoring,10001,139474 
C35,D. E. Shaw India Private Limited,Fincial Services,1000 ,72352 
C36,Medtronic,Medical Device  ,10001,1417673 
C37,BorgWarner,Automotive  ,10001,266728 
C38,UBS,Fincial Services,10001,1205434 
C39,TechSevin Solution LLP,Information Technology & Services,200,2095 
C40,Chegg India,E-learning,1000 ,54333 
