Job_id,Job,Company Name,location,Industry,Employee Count,LinkedIn_Followers,Involvement,Level ,Total_Applicants
J250,Engineer - Civil Structural,Air Products India,"Vadodara, Gujarat, India",Chemical Manufacturing,"5,000","30,048",Full-time,NA,63
J251,Engineer - Civil Structural,Air Products India,"Vadodara, Gujarat, India",Chemical Manufacturing,"5,000","30,048",Full-time,NA,59
J252,Software Engineer - Service Now Developer - Service Portal,Amdocs,"Pune, Maharashtra, India",Telecommunications,"10,001","8,55,543",Full-time,Entry level,187
J253,"Associate, Solution Engineering",Western Union,"Pune, Maharashtra, India",Financial Services,"10,000","2,34,770",Full-time,Entry level,1
J254,Python Developer,Yudiz Solutions,"Ahmedabad, Gujarat, India",IT Services and IT Consulting,"1,000","19,488",Full-time,Entry level,200
J255,"Junior Associate, Technology Operations (ServiceNow Developer)",Western Union,"Pune, Maharashtra, India",Financial Services,"10,000","2,34,770",Full-time,Entry level,19
J256,Windows+MAC OS Technical Support Analyst,BMC Software,"Pune, Maharashtra, India",IT Services and IT Consulting,"10,000","2,39,980",Full-time,NA,128
J257,Software Engineer 2,Dell Technologies,"Pune, Maharashtra, India",IT Services and IT Consulting,"10,001","41,70,251",Full-time,NA,82
J258,"Analyst, Integration Quality",Evolent Health,"Pune, Maharashtra, India",Hospitals and Health Care,"5,000","63,236",Full-time,Associate,20
J259,Senior Specialist - Software Engineering,LTI - Larsen & Toubro Infotech,"Pune, Maharashtra, India",IT Services and IT Consulting,"10,001","17,60,160",Full-time,Associate,25
J260,"Software Engineer, II",Zebra Technologies,"Pune, Maharashtra, India",IT Services and IT Consulting,"10,000","2,60,894",Full-time,Entry level,66
J261,Senior Software Engineer,Intelerad Medical Systems,"Pune, Maharashtra, India",Medical Equipment Manufacturing,"1,000","64,937",Full-time,Mid Senior level,7
J262,Software Engineer - Testing,Napier Healthcare,"Hyderabad, Telangana, India",IT Services and IT Consulting,500,"18,355",Full-time,Associate,125
J263,"Embedded Software Engineer (C++, QT)",Goken America,"Pune, Maharashtra, India",Design Services,500,"6,475",Full-time,Mid Senior level,16
J264,Junior Architect & Junior Engineer,ArBis & Associates,"Namsai, Arunachal Pradesh, India",Software Development,44835,120,Full-time,NA,12
J265,Junior Software Engineers Bangalore Office Job,TeamPlus Staffing Solution Pvt Ltd,"Bengaluru, Karnataka, India",Staffing and Recruiting,18568,"3,825",Full-time,Entry level,32
J266,Software Engineer - Testing,Napier Healthcare,"Hyderabad, Telangana, India",IT Services and IT Consulting,500,"18,355",Full-time,Associate,135
J267,Senior Executive_Engineer_Linux_Pune,_VOIS,"Pune, Maharashtra, India",IT Services and IT Consulting,"10,001","84,188",Full-time,Associate,6
J268,Software Developer- Data & Analytics,Johnson Controls,"Pune, Maharashtra, India",Industrial Machinery Manufacturing,"10,001","11,49,075",Full-time,Entry level,72
J269,Structural Engineer l,Worley,"Mumbai, Maharashtra, India",Professional Services,"10,001","10,01,176",Full-time,NA,136
J270,Software Engineer 2,Microsoft,"Hyderabad, Telangana, India",Software Development,"10,001","1,77,80,427",Full-time,Entry level,91
J271,Software Engineer 2,Microsoft,"Bengaluru, Karnataka, India",Software Development,"10,001","1,77,80,427",Full-time,Entry level,102
J272,Software Engineer 2,Microsoft,"Hyderabad, Telangana, India",Software Development,"10,001","1,77,80,427",Full-time,Entry level,200
J273,Technical Support Engineering M4,Microsoft,"Hyderabad, Telangana, India",Software Development,"10,001","1,77,80,427",Full-time,Entry level,67
J274,Software Engineer 2,Microsoft,"Delhi, Delhi, India",Software Development,"10,001","1,77,80,427",Full-time,Entry level,106
J275,Support Engineer Internship Opportunity for University Graduate,Microsoft,"Daman and Diu, India",Software Development,"10,001","1,77,80,427",Internship,Internship,10
J276,Support Engineer Internship Opportunity for University Graduate,Microsoft,"Delhi, Delhi, India",Software Development,"10,001","1,77,80,427",Internship,Internship,107
J277,SAP MM Hana Consultant,IBM,"Delhi, Delhi, India",IT Services and IT Consulting,"10,001","1,44,05,502",Full-time,NA,91
J278,SAP MM Hana Consultant,IBM,"Mumbai, Maharashtra, India",IT Services and IT Consulting,"10,001","1,44,05,502",Full-time,NA,115
J279,Package Consultant – SAP SD VC,IBM,"Mumbai, Maharashtra, India",IT Services and IT Consulting,"10,001","1,44,05,502",Full-time,NA,1
J280,Package Consultant –SAP SD VC,IBM,"Delhi, Delhi, India",IT Services and IT Consulting,"10,001","1,44,05,502",Full-time,NA,3
J281,CAO Control Programs- Associate,JPMorgan Chase & Co.,"Mumbai, Maharashtra, India",Financial Services,"10,001","33,21,410",Full-time,NA,5
J282,Infrastructure Development,JPMorgan Chase & Co.,"Hyderabad, Telangana, India",Financial Services,"10,001","33,21,410",Full-time,NA,17
J283,Quality Assurance_Disclosure of Interest,JPMorgan Chase & Co.,"Hyderabad, Telangana, India",Financial Services,"10,001","33,21,410",Full-time,NA,52
